mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_mpa_0_D3,G_vrh_mace_mpa_0_D3
mp-10212,ScGe2,80.354,56.949,105.8439591214106,75.88966962173829
mp-15297,Hf6NiSb2,131.265,72.06,166.92992705585638,67.17855746856006
mp-864796,EuCdHg2,37.559,11.896,48.73660272365778,19.91575570267417
mp-20206,ThIn3,65.84,31.631,84.77005339988322,47.7469421064835
mp-1079630,Ba2TaInO6,140.02,78.541,176.81163963225077,102.97507721559502
mp-1029312,RbVN2,39.935,39.756,129.22099633547043,47.61934198782393
mp-8456,SrAsPt,72.367,29.338,89.06163850040366,42.39150931793623
mp-567588,DyInRh,98.902,31.23,110.17731547122501,38.596677125189906
mp-4788,K(OsO3)2,129.08,80.552,173.47594881436495,70.477345125075
mp-8307,CaNi4B,132.728,61.205,171.83809505559063,81.39605393666407
mp-752730,Ba2GeO4,64.347,31.103,112.59894550341933,61.02238115242483
mp-4571,CaZrO3,149.043,85.19,189.93097727002313,102.67963304912611
mp-23204,FeCl3,15.609,9.15,35.201360408843655,17.472051754518567
mp-862629,ScRh2Pb,139.016,187.799,187.30483241717906,58.62061977177893
mp-3706,Ho2Co12P7,201.47,106.337,261.83584393752176,130.48184953522085
mp-3061,TbNiC2,145.7,95.952,208.3150760492666,108.48299989816856
mp-865202,TmCdPt2,123.512,20.588,157.05027010664247,9.276697516055306
mp-1019055,ReN2,384.053,265.328,506.99265045798444,202.222694747357
mp-778364,Na6Ti2O7,46.367,25.335,106.14503550324297,53.47091191862174
mp-866375,TiFe2Ge,210.464,127.259,281.78844107312096,127.41726281662704
mp-8062,SiC,212.682,187.246,241.90585019650865,177.8731359330982
mp-9587,TaMoN,306.124,172.722,433.3910713930604,133.96661686470406
mp-614603,CsI,8.224,4.02,14.452032014397254,6.091559991537306
mp-30227,Rb2WCl6,11.06,4.8870000000000005,43.12999649705269,23.714578308080114
mp-3951,Ti2CuS4,100.958,37.972,130.78316995187794,72.40196223570085
mp-865845,Yb2CuIr,69.855,33.64,103.26983808488636,28.97565529829132
mp-754483,Na3(CuO2)2,33.577,21.098,98.04183208001453,47.39424201084036
mp-1008285,Cr3Fe,239.14,60.631,268.72766957373267,20.062439919874517
mp-16342,HoGe,80.872,54.586,96.53782337276171,63.79560977797684
mp-752426,Li3SbS4,38.534,25.974,81.09831332320397,41.65050292317547
mp-27743,BiF5,13.737,10.508,89.32663704717145,45.9388721230062
mp-21366,Yb(GeRu)2,113.282,47.997,150.58895611306613,78.27547038269297
mp-905,LaF3,102.112,39.391,125.85608520592665,54.23478229115365
mp-9953,HfP,147.126,83.603,162.74661650334792,102.71356196562822
mp-643273,NaH2Pd3,108.766,34.066,146.29593831033588,48.55006999880251
mp-972228,Zr3As2,125.408,62.953,176.28092540456237,95.79153410113048
mp-30819,LiAl2Pt,124.378,59.706,158.91440760956536,76.98040465035349
mp-7092,TiSi,145.819,99.581,191.54220719567422,114.81156493248412
mp-862703,Sc2AgAu,91.964,32.821,105.73929699681406,40.29727377607128
mp-978265,Mg2ZnPd,72.28,25.948,91.21248046481746,37.76518702875071
mp-10844,Te2Ir,111.463,53.591,137.03258570800887,81.0191419676152
mp-140,Ga,49.645,8.836,70.06207559451795,8.017027020581914
mp-31496,Li2Sn2Au,47.106,21.387,71.9334136842886,31.075668453850895
mp-13816,Cs2NaErF6,31.129,17.633,56.814851498329155,30.605664493564962
mp-972119,SrCaTl2,28.313,16.901,32.81937482358821,22.104904782714208
mp-4552,ErInCu2,88.491,42.728,107.20777720947166,57.68168144235307
