mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_mp_0b3_D3,G_vrh_mace_mp_0b3_D3
mp-15297,Hf6NiSb2,131.265,72.06,131.20402789079043,45.72268666942928
mp-864796,EuCdHg2,37.559,11.896,48.72095321624217,18.905549975157836
mp-20206,ThIn3,65.84,31.631,92.71214804737934,28.591191253836925
mp-1079630,Ba2TaInO6,140.02,78.541,182.77966190353052,100.0249847304311
mp-1029312,RbVN2,39.935,39.756,100.68420454708004,29.708453662476977
mp-8456,SrAsPt,72.367,29.338,80.5660791186161,31.4386433772563
mp-567588,DyInRh,98.902,31.23,119.49459108143513,34.94940992021626
mp-4788,K(OsO3)2,129.08,80.552,185.90487765708613,73.3545957928006
mp-8307,CaNi4B,132.728,61.205,169.41414942831062,70.79579720058659
mp-752730,Ba2GeO4,64.347,31.103,106.1236037461571,57.732092244309555
mp-4571,CaZrO3,149.043,85.19,185.21776641047128,102.811958387936
mp-23204,FeCl3,15.609,9.15,40.29167336173882,25.26852852427596
mp-862629,ScRh2Pb,139.016,187.799,160.447289741965,38.22159553501981
mp-3706,Ho2Co12P7,201.47,106.337,230.9264594444846,104.85907622395769
mp-3061,TbNiC2,145.7,95.952,182.1995444559856,90.30029209826117
mp-865202,TmCdPt2,123.512,20.588,143.47304106011387,19.946109701060827
mp-1019055,ReN2,384.053,265.328,409.4086430049922,116.14933714123607
mp-778364,Na6Ti2O7,46.367,25.335,102.75211021534834,51.547031181674974
mp-866375,TiFe2Ge,210.464,127.259,241.23012641898853,74.82051039576214
mp-8062,SiC,212.682,187.246,254.2947875097235,170.51651765806486
mp-9587,TaMoN,306.124,172.722,342.00574834729366,87.17831691486843
mp-614603,CsI,8.224,4.02,16.482995007577646,4.672684432853836
mp-30227,Rb2WCl6,11.06,4.8870000000000005,43.9356229032765,19.37660665494471
mp-3951,Ti2CuS4,100.958,37.972,131.44504551227377,71.23126812982693
mp-865845,Yb2CuIr,69.855,33.64,80.2539286397891,24.102594244829604
mp-754483,Na3(CuO2)2,33.577,21.098,85.64611922027657,38.840178269220196
mp-1008285,Cr3Fe,239.14,60.631,258.55635276156994,-139.81497349551105
mp-16342,HoGe,80.872,54.586,92.36153317356728,45.531734743816614
mp-752426,Li3SbS4,38.534,25.974,64.2919979644214,32.39419491893647
mp-27743,BiF5,13.737,10.508,113.08616745936527,56.27945999634506
mp-21366,Yb(GeRu)2,113.282,47.997,142.65471153701745,59.097207681940375
mp-905,LaF3,102.112,39.391,127.1107136182602,50.46037101336992
mp-9953,HfP,147.126,83.603,152.73260246039547,71.24265237016924
mp-643273,NaH2Pd3,108.766,34.066,125.16626401125403,42.59387555400367
mp-972228,Zr3As2,125.408,62.953,140.5606085942649,62.19285656044835
mp-30819,LiAl2Pt,124.378,59.706,157.51320760188602,52.51437250932684
mp-7092,TiSi,145.819,99.581,165.8251878593246,80.0464875895694
mp-862703,Sc2AgAu,91.964,32.821,93.01462554877806,28.880733319003667
mp-978265,Mg2ZnPd,72.28,25.948,80.5680332283017,27.17554447265121
mp-10844,Te2Ir,111.463,53.591,140.02880310617942,62.00014499633787
mp-140,Ga,49.645,8.836,54.40868423433242,1.4249528785988923
mp-31496,Li2Sn2Au,47.106,21.387,57.54306980441244,19.075939295583147
mp-13816,Cs2NaErF6,31.129,17.633,63.26991442213498,30.67108274526342
mp-972119,SrCaTl2,28.313,16.901,31.440536431084606,12.39080916875057
mp-4552,ErInCu2,88.491,42.728,104.0425915304734,45.055671426707924
