mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_PBE_0_D3,G_vrh_mace_matpes_PBE_0_D3
mp-27743,BiF5,13.737,10.508,92.63808822515246,51.35245699166519
mp-21366,Yb(GeRu)2,113.282,47.997,154.30460793621475,79.63031253745135
mp-905,LaF3,102.112,39.391,113.23814026944096,50.22775239093799
mp-9953,HfP,147.126,83.603,164.05561042524258,119.09037682096893
mp-643273,NaH2Pd3,108.766,34.066,128.0158477957858,44.27085755218813
mp-972228,Zr3As2,125.408,62.953,143.81380356382743,93.11586204237967
mp-30819,LiAl2Pt,124.378,59.706,146.3467598655074,81.30515824582409
mp-7092,TiSi,145.819,99.581,182.09565915886884,121.91327240911468
mp-862703,Sc2AgAu,91.964,32.821,97.525929591298,44.16582860744342
mp-978265,Mg2ZnPd,72.28,25.948,80.90833448274014,36.65597319919763
mp-10844,Te2Ir,111.463,53.591,111.88569105139882,65.61879151671704
mp-140,Ga,49.645,8.836,53.387043340637796,6.045275331931554
mp-31496,Li2Sn2Au,47.106,21.387,64.22739237689642,30.898079186601244
mp-13816,Cs2NaErF6,31.129,17.633,46.317320348095876,22.31436053645173
mp-972119,SrCaTl2,28.313,16.901,35.5098857222158,20.660816913817502
mp-4552,ErInCu2,88.491,42.728,90.08956120992835,42.527940155117186
