mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_PBE_0_D3,G_vrh_mace_matpes_PBE_0_D3
mp-1008285,Cr3Fe,239.14,60.631,242.5451917340696,20.54565681852367
mp-16342,HoGe,80.872,54.586,74.4993941911748,46.754767347389155
mp-752426,Li3SbS4,38.534,25.974,66.76518895597914,39.437165837608596
mp-27743,BiF5,13.737,10.508,92.63826002415273,51.352498332308635
mp-21366,Yb(GeRu)2,113.282,47.997,154.30454424672632,79.62986524930636
mp-905,LaF3,102.112,39.391,113.23830614418065,50.22785978468598
mp-9953,HfP,147.126,83.603,164.05567147386628,119.09016605894874
mp-643273,NaH2Pd3,108.766,34.066,128.01577745407957,44.27034096687404
mp-972228,Zr3As2,125.408,62.953,143.81368242360153,93.11600276725518
mp-30819,LiAl2Pt,124.378,59.706,146.34668437956074,81.30503463878787
mp-7092,TiSi,145.819,99.581,182.09680576660634,121.91368071823653
mp-862703,Sc2AgAu,91.964,32.821,97.52682820028286,44.16501466650088
mp-978265,Mg2ZnPd,72.28,25.948,80.90839337488129,36.65603909761046
mp-10844,Te2Ir,111.463,53.591,111.88565781042465,65.6188455347499
mp-140,Ga,49.645,8.836,53.3863867733847,6.045058813194745
mp-31496,Li2Sn2Au,47.106,21.387,64.22747567807548,30.898134066414435
mp-13816,Cs2NaErF6,31.129,17.633,46.31725990380083,22.31429823674148
mp-972119,SrCaTl2,28.313,16.901,35.509936902743966,20.660849670897967
mp-4552,ErInCu2,88.491,42.728,90.08971032478092,42.52794892556342
mp-865278,NbAlOs2,260.723,129.33,268.3158042050726,153.00882553815242
mp-20265,LiIn2Pt,81.018,28.966,105.36416405504201,42.02413431368809
mp-690789,K3ReH6,25.075,8.757,31.482982776399172,23.15769792996658
mp-863673,LiPm2Rh,62.498,22.513,47.14760182575238,14.596347435204246
mp-20276,U2F9,78.546,42.193,119.40821832991715,65.08711399042409
mp-570008,Sr3BiN,43.271,36.36,57.88107987046949,40.7434117235495
mp-755895,Ba3Zr2O7,119.003,67.526,135.65945822543355,75.75496642572516
mp-7918,HfGeS,126.583,82.007,150.57782240892007,95.5064950351458
mp-1025557,CoMoP2,212.426,119.819,256.8238701021414,158.12513488978254
mp-1400,HfW2,222.256,94.6,250.89325825802155,101.45936815682992
mp-13829,TlCu3S2,41.713,15.73,81.55385690187167,32.88021915389132
mp-865230,TmMgRh2,116.23,52.742,126.0869135912182,51.517034310950535
mp-27666,IrCl3,12.169,6.513,78.25367065166654,39.76019777911008
mp-8218,PrAlO3,197.512,136.42,207.5073915574108,129.33307457536742
mp-864599,TbSnAu2,88.449,16.179,82.5059862584446,17.502790288789736
mp-15783,KSmS2,40.489,25.094,40.42837684717009,24.867306329821023
mp-29476,Cu3SbSe3,51.967,17.901,85.78433733951658,33.92602093797804
mp-862601,RhI2,55.598,13.605,79.28485807147483,29.0605903893664
mp-1009733,Ca2Si,36.951,24.717,47.676094675001096,29.802043631516028
mp-1023128,CuS,104.037,40.689,144.25265429542665,53.09383672134596
mp-1008786,MgTe,46.024,30.655,54.52929469578899,42.07304185468896
mp-1787,NdMg3,38.838,26.322,33.73844413040499,26.699950038898294
mp-973689,Ho3Lu,44.373,30.304,25.26282078720333,21.76632651268799
mp-975972,PrLuMg2,41.51,23.46,39.83253799254117,24.153857818355938
mp-16745,ErAgPb,66.619,32.98,67.77746987298407,35.86437255071367
mp-863732,Pm2PtRh,96.963,33.757,86.93829042549046,11.089624418233877
mp-216,Sc2O3,167.269,79.706,171.5382119088805,91.3170297830137
mp-1501,Al3Pt5,199.949,63.445,215.48818018868337,82.32658174233393
mp-977117,NaTeO3,137.484,78.761,112.58959402905671,81.20508859630347
mp-50,Ta,194.527,64.83,215.08443865901302,58.42875828149452
mp-1023934,MoSe2,9.262,6.3629999999999995,48.89977824746113,30.638203664575627
mp-865000,HfScIr2,182.895,90.315,188.32907302208292,74.53399942589913
mp-12505,LuAgSn,74.223,39.843,92.48196042817472,53.273891293921146
mp-973024,La3Hf,40.645,21.816,45.28440775937474,27.395633792429443
mp-972099,YbMg3,28.79,11.895,37.20395676520094,25.160134062873578
mp-1471,Zr3Al,100.33,55.844,103.15002824188892,38.21115523918043
mp-16646,PrMgRh,72.105,27.733,74.4300691490047,30.108451399665903
mp-1002124,HfC,158.82,30.036,179.19650267358085,70.97331022411473
mp-6074,KRb2TiF6,34.699,22.332,44.83674122912297,19.262283997224397
mp-1017509,MgNiH2,90.601,54.062,109.5390406300045,66.59847779877408
mp-1077,B2Ru,283.343,170.538,280.46047464787864,174.794286899452
mp-20147,ZrMnP,174.291,111.101,182.6654511191413,109.90954939275191
mp-861630,Tc3Ru,303.39,161.012,303.9978981188636,150.4791853160245
mp-13925,Cs2NaYF6,32.42,16.618,48.340342268817885,22.698783795221907
mp-973561,LiCe2Ru,65.477,6.7,79.3884793889371,19.756610740039264
mp-27243,K2PtBr4,10.721,5.618,26.344675570318056,15.963589113060618
mp-29207,SrMnBi2,32.353,18.785,42.082960855176786,27.296163472703487
mp-8484,ZnO2,138.631,62.222,144.31063710076302,74.02124545101006
mp-9884,KFeSe2,19.144,7.483,30.858599081535008,23.335149342796832
mp-865858,PaAu3,125.869,15.063,156.06883718110248,30.696294098244245
mp-866004,Er2InAg,65.736,30.299,54.88983026077644,25.621667443467125
mp-10463,YCo4B,173.919,65.313,175.83762578964624,86.23557754643518
mp-2658,AlFe,170.575,96.914,213.2377856103843,156.3887391830114
mp-21385,In3Ni2,105.586,55.446,104.16440088446092,53.22958274730376
mp-976968,NaPdO3,104.533,38.431,146.41567933421464,56.01695451260881
mp-7275,BaSi2,52.121,33.929,59.30410216292875,36.95865116519614
mp-1009770,RuN,260.463,51.935,269.22798562672233,78.57161257724111
mp-1014227,Ti2ZnN,147.64,95.909,198.38120941528794,114.6804725891791
mp-999450,NaSmSe2,35.686,21.517,41.44744506642852,23.294135671167
mp-1018133,LiHPd,82.256,38.705,83.60958693370031,42.1414015182393
mp-7849,AlAsO4,23.997,18.753,124.02133001207815,54.17966780527916
mp-571506,TmAlSi,92.341,65.876,82.47853458285405,55.737570466442065
mp-4037,TmNiC2,170.384,100.038,183.42277061737352,114.45334951202902
mp-865240,Lu2MgIn,55.4,32.495,57.12401129222238,30.469269421607713
mp-861736,LiSbPd2,107.809,33.967,115.76551290189018,44.56150211005977
mp-754125,NdO2,126.323,315.883,159.56367849366387,46.15934646352204
mp-8635,Zr,89.974,29.84,94.28808279378318,19.37227712042009
mp-7374,Ba(CuO)2,56.503,21.409,89.88115590030216,35.299905457389926
mp-7554,LiMgSnAu,61.1,16.802,83.05076122848023,40.00078191442155
mp-550437,GdTe2ClO5,61.076,20.662,125.49125064259805,58.48822647325626
mp-13160,YZnGe,76.81,54.248,83.16363125415624,53.682169641857286
mp-11436,Er(VGa2)2,115.021,76.361,119.43146401084473,73.47459124046827
mp-4210,Sm2CuO4,142.528,60.204,146.3713979400677,69.44175660247748
mp-16263,CaZnGe,49.099,37.699,58.02981018998463,39.26187656822702
mp-4174,HoNiSb,92.38,57.242,90.15780447941418,58.472633331255004
mp-4175,ZnSnP2,64.548,39.275,67.49827026140655,40.74220923621285
mp-20900,Cu3Sb,90.479,25.292,128.85413935059813,44.03168620427047
mp-27760,PrSi2,80.53,27.008,94.8306568674748,67.03776067859147
mp-2142,Te2Os,130.119,88.304,150.84217517024035,111.06216279680335
mp-22044,Sm2Ge2Ru,88.624,44.545,87.65692801918208,50.368780551342155
mp-989541,Rb2NaSbF6,33.711,17.354,41.963509556287576,22.73969617527458
mp-972442,SnBO3,225.06,73.067,244.5879105180868,64.95901233836307
mp-3223,ThB2Ru3,230.004,94.235,222.71443881195265,101.36323800347567
mp-867292,Ga2RuRh,199.112,92.754,195.9107521515074,102.80307749628446
mp-756094,LiFeS2,70.86,31.867,98.10818435478397,53.136465356521086
mp-867846,TaTiRe2,257.421,116.994,258.71169346347966,92.63423788302339
mp-867346,ThCdHg2,72.453,16.677,89.61544297516845,31.027095231929966
mp-8830,NaRhO2,109.969,59.556,157.74942753130847,80.41197610857421
mp-558781,ScTaO4,178.016,73.282,199.87428674880596,86.79895701239869
mp-553961,ScNbO4,166.644,60.602,172.81030032489835,65.08773699613276
mp-999540,MnSe,51.3,13.695,48.42524131392329,26.32661269246633
mp-2206,LuCo2,191.768,52.371,136.51099243095345,42.23286994789811
mp-865928,Ti2TcPt,201.234,72.828,236.27999513572692,104.93963106826291
mp-361,Cu2O,111.715,7.888,121.2747107670866,29.672469225048413
mp-1017531,VPt,236.927,116.114,278.42131493167756,123.45522255290624
mp-7576,CrSi,183.655,118.732,186.69138265557183,142.20100815443487
mp-19832,BaCoS2,55.064,31.713,77.81774286431983,45.7799578496048
mp-973353,SbPt3,178.413,26.833,172.79782528980556,-51.69879264303091
mp-1019551,BaNa2Mg(PO4)2,82.728,46.497,129.58668327863268,66.09021407789325
mp-999516,MnP,105.134,80.838,197.04061974850225,165.26903618297922
mp-20978,Ho3TlC,41.581,12.506,31.490711485040485,3.5032346452971383
mp-21521,Cs2PbO3,35.148,13.531,52.70094907283059,25.111758015417287
mp-2444,GaRh,179.773,58.842,184.4075126172172,87.48373655793952
mp-13431,Dy2AlCo2,82.859,30.594,89.35060334017413,40.26678351993111
mp-1025524,Zr2TlC,115.186,77.68,153.17025826286894,88.9695289672034
mp-972899,Sc2GaIr,118.555,47.121,120.827132363092,59.63463114916273
mp-30357,Sr3Ag2,21.352,9.351,28.73799648534499,15.471421391668335
mp-1025,ThAu2,107.422,37.338,129.55622970859233,49.5585212371092
mp-2516,YZn,60.055,30.473,64.44747430739642,37.46493444029768
mp-22882,YbBr2,15.965,11.345,29.98243646491724,16.196904164809162
mp-1023125,MgCuO2,126.208,71.609,128.40836708482027,73.64845359345205
mp-867191,Sm2TlCd,53.486,21.025,36.384578617748815,16.820052608179505
mp-974358,Ir3Ru,337.871,226.427,402.4239962705766,229.88191103975674
mp-10,As,79.731,32.38,94.19412412498507,42.15890569737536
mp-865091,HfMnRh2,175.043,62.602,197.20552996086843,72.03559377194146
mp-11232,YAl3,32.234,97.757,45.820030425539215,10.368508722488254
mp-27865,KMgCl3,31.053,15.706,32.16730951697373,19.23063537060069
mp-865471,VGaTc2,229.778,78.962,246.0350076523915,114.35970157174407
mp-21433,TbTiGe,81.218,52.977,96.47076909611039,50.188342117094464
mp-29136,Sr6Cu3N5,63.615,27.585,81.97185750834065,40.29959401743776
mp-516,LuSb,63.1,36.872,77.134337105973,42.6706616108509
mp-997031,MgCuO2,136.108,63.634,166.0532146088381,70.46468036745367
mp-2008,FeAs2,135.973,111.737,162.70134041976357,103.39510244253432
mp-866120,Tm2TlAg,66.273,29.296,47.98810617252071,22.593101270985365
mp-20787,FeB,280.84,142.25,271.83903534575495,195.85517613967238
mp-862861,Pa3Si,108.501,59.249,159.1184230335959,66.46880079208486
mp-978796,SmDyIn2,56.106,22.203,42.2360339870006,17.215238060317482
mp-32994,Hf4N3,225.032,97.549,249.06702103598244,156.2497312436215
mp-626785,KHO,30.922,17.006,46.840918830530555,23.76414686887394
mp-616458,Cs2CO3,22.432,8.493,42.93604483062914,25.55377786717841
mp-861665,LiTmIn2,38.577,18.108,44.43322639976611,20.23235862942018
mp-865100,NaInHg2,25.727,9.66,37.60902992816429,12.098026650814807
mp-5971,YBPt2,159.168,52.283,185.36341153396944,74.41659402754236
mp-562809,GdBi2BrO4,57.14,36.117,115.07088878520041,55.89549073257058
mp-558378,Pd3S,113.764,39.33,143.83706953133975,61.3613848500511
mp-862546,Sc2AlRu,110.743,39.474,119.00101063551307,58.480706586296854
mp-1025431,SmPt,97.548,32.196,79.18966799810043,26.000612515849284
mp-569523,Y2InNi2,77.414,40.912,92.105485767486,39.41691665236074
mp-1025311,CdAsPt5,183.707,58.167,209.96777876285395,73.56812577545858
mp-977,LuIn3,54.557,25.507,60.51928189639431,29.28231701696656
mp-571035,OsCl4,5.865,3.473,66.61397649188658,36.032344886908696
mp-1029580,Sr4ZrN4,71.003,28.485,90.39918567473126,46.88132710676086
mp-972522,SmTmZn2,58.598,27.032,46.30618739049961,25.18215590393429
mp-978095,Pr2CdPb,50.071,18.011,44.704379842739854,9.456492510954742
mp-28896,CuBIr,195.576,67.035,249.1672902603027,102.48994419925617
mp-395,ZrAl3,102.705,84.766,104.96108348533576,70.40499819830114
mp-12061,Lu(FeB)2,187.743,76.06,204.73342344583511,105.02022568099046
mp-20174,Ni3Sn4,96.833,50.419,104.11261815234853,52.40635763064778
mp-4602,Tb2Ti2O7,205.081,21.568,168.4283820428512,82.99544185375848
mp-10824,ZnCu2GeSe4,55.144,26.528,57.96937372162254,23.858692926628915
mp-865067,Li2EuGe,34.651,23.508,64.40718552571373,52.498133902303316
mp-1009006,LiCdAs,46.662,3.251,61.04311484754633,31.31096326892736
mp-636212,GaFe2Co,157.963,15.311,173.50717018700252,43.953990631068336
mp-21321,MnSe2,66.359,30.223,59.88104537479322,42.64980168087461
mp-675464,CdIn2O4,132.026,41.566,132.07591221235438,64.0106742492494
mp-20261,Mn(GaSe2)2,32.669,19.199,57.711559289719055,26.43482049015869
mp-974063,HoScRu2,130.162,51.077,140.99616555433659,51.424173835250926
mp-1111,Mn5Si3,313.656,101.503,149.97112098088863,131.61480222531495
mp-768241,Dy2Ge2O7,125.554,48.501,137.71090266972152,66.9635841106852
mp-9056,ZrPdF6,7.646,11.439,80.62282200564863,34.06911970424977
mp-996983,AgAuO2,63.604,17.878,94.37191643276812,30.555564649286953
mp-5076,SrZrO3,143.03,87.474,157.85127188635158,83.49441277578781
mp-9166,MgCN2,96.751,31.757,135.1886201483445,83.29508933913218
mp-1299,SiPt2,206.108,65.451,217.7208248475236,79.56291675009389
mp-2675163,WN2,100.955,24.65,152.52545186985728,71.80961104830739
mp-2582,TiSi2,142.135,111.779,191.2621960382323,134.39716966040717
mp-542854,Mg9Si5,58.465,38.545,53.13461900834397,35.00359802496252
mp-2108,Ti5Si3,139.791,94.124,176.99191361407173,108.53039864965082
mp-7288,Sc2SO2,139.478,67.795,148.09231715646374,83.71713860184302
mp-7903,Cs2ZrF6,18.985,9.167,51.19450861466814,22.873942011903374
mp-10602,Sm3GaC,67.541,48.714,41.461544039861195,28.81191568090008
mp-29633,LiGePd2,121.813,37.662,136.35768053757536,60.99702337868504
mp-4316,Sr(NiAs)2,45.823,28.001,92.14513616009553,38.963833646651324
mp-18707,Mg3Pt,69.596,23.933,83.58777272802655,47.06177931284027
mp-912,LaPt2,143.888,60.396,158.21413985078954,55.91864597315197
mp-11714,SiC,213.331,188.708,260.30122819577355,214.38848053554588
mp-21907,NbSiAs,151.91,96.024,200.54963445511456,128.10446541850663
mp-6092,TbNi2B2C,174.217,71.075,192.34203178632282,104.76316541186917
mp-3415,Yb(SiRu)2,133.202,67.203,168.64306050641443,87.55985671043494
mp-21040,Zr2Fe3Ge,158.937,87.954,159.0696337467013,79.42369506589361
mp-9548,GeAs,20.046,15.662,67.20996428720315,43.52338146767844
mp-30494,ScCd3,61.151,29.259,78.97683147896099,36.394036758264285
mp-30595,CuSnRh2,177.039,63.304,192.01502463465394,75.96701358219852
mp-10528,Ho2AlSi2,88.264,54.353,69.12210382676288,51.7200404342997
mp-1205307,WSCl4,0.936,0.749,44.807021733729464,22.031039569433872
mp-15397,Ti7Al2O15,196.424,85.772,192.7962025668824,98.35825354278792
mp-1078526,GaPd,141.771,9.952,152.92882183824943,62.9652157573506
mp-995147,PbBrCl,33.6,0.906,39.03561395366827,12.709775385868971
mp-11515,NbRh,219.994,56.006,225.10406735061932,81.49484420557117
mp-12546,TiCu3,141.202,51.729,189.31318033966443,76.95528379355245
mp-1641,CrSb,73.845,48.058,88.25881797519234,57.344458837551
mp-4406,CaSO4,64.243,31.298,144.35815938669577,72.70688155290875
mp-1016874,SiHgO3,221.487,68.309,250.5764440778912,111.0548343660561
mp-571520,Si,79.59,60.71,95.42335834794734,68.705228015305
mp-23684,NaHCO2,25.163,12.017,66.05811942462913,37.68995870155941
mp-972238,Ti2VIr,179.691,84.534,205.3630610904928,83.98285875210637
mp-1025213,InPPt5,203.239,57.276,224.90569042966575,78.55731910016614
mp-559264,Bi2PdO4,36.71,24.815,128.45756245661823,54.572481319941865
mp-1029791,MgSnN2,119.793,61.364,140.1118497742833,93.93919130062605
mp-972808,SiO2,25.788,36.205,143.0638388744628,81.35386788880923
mp-1007855,FeNi3,193.048,95.457,220.23696379473938,91.08570439434783
mp-71,Yb,15.868,10.038,24.39248992812945,15.187976530868703
mp-867744,LiTi3O4,193.852,81.153,259.37394577509366,145.2347004736922
mp-99,Er,44.76,31.02,30.1503239067937,19.124543080438116
mp-6772,CaBe2(PO4)2,84.663,51.832,169.6530874399411,95.42377807436041
mp-753195,Li2WS4,6.489,4.129,60.60780991742991,22.42106547518977
mp-22993,AgClO4,26.665,9.049,104.9264085278807,57.268644628553744
mp-11560,TiSiRu,203.131,103.155,211.65183264529347,105.45359308463033
mp-31160,CaZnSn,46.54,37.248,58.37549609111738,41.877689431227964
mp-927,CuP2,87.682,51.586,100.5234698866484,58.44971771124367
mp-1259,YbAl3,59.791,53.601,85.09155597616765,59.863492810539064
mp-21879,Ba2CePtO6,137.231,62.307,143.34693291474278,68.70365141949151
mp-4954,La(SiPd)2,120.576,54.617,116.78160295068055,57.49448282509388
mp-34023,Ba2NbO,24.277,53.855,26.65764408827252,14.577825801633645
mp-540924,NbTeI3,5.474,0.547,52.28224113776307,27.273871987676113
mp-865884,LuInRh2,138.075,43.403,161.25189937875967,72.94739013828931
mp-1025172,Ho(TiGa2)2,96.685,60.465,102.49716488163527,63.68898563717611
mp-984767,DyHoIn2,57.572,21.948,47.44238261118486,18.89281448941984
mp-570786,KNa2,5.733,1.421,6.19550743515103,3.7787067139926465
mp-861889,Sc3Tc,89.781,30.851,89.49537258024552,35.01668672903399
mp-496,SrSi2,58.246,29.769,66.6666915088546,37.78184836723391
mp-867127,ScCdAg2,80.644,26.055,105.34545946265524,39.12374251403084
mp-977200,Na3C,22.193,4.584,24.250960165979965,11.816037654538222
mp-2034,W2C,334.971,167.632,336.3210487028309,185.84680984495645
mp-9907,SrAs3,37.824,22.866,64.67844729208646,35.46649410774484
mp-16053,CuSiO3,31.454,19.986,123.87538830516486,59.26446046088066
mp-2930,Mn3ZnC,192.524,65.249,160.65028980037746,109.59285681483665
mp-5549,MgSnAu,65.619,28.043,82.30136717874281,39.83450019190851
mp-15988,Li2CuSb,52.716,33.809,61.349313091078926,43.113986830923984
mp-2713,ErIr,140.411,56.862,139.8065141789021,40.715281190766895
mp-983584,Al3Tl,49.964,10.322,55.32335364883558,15.17486840680312
mp-998988,Ti3Ga,109.768,29.881,143.3273525548295,62.56630528126929
mp-867117,Sc2CuPt,112.788,44.091,120.62264556694156,52.32903082434628
mp-30585,HoCu5,116.726,53.682,118.93575030419372,52.53905473266051
mp-754823,ErTlO2,87.263,36.283,101.45533135440276,53.80006505597054
mp-643409,Ba4Y(CuO3)3,103.322,50.961,104.95822524161719,53.98775863933471
mp-2349,YCd3,55.533,25.172,72.5649085178515,32.39877892511386
mp-999318,NiBi,88.03,36.741,98.41972020567513,43.53796598234069
mp-1014,ZrMn2,157.977,43.71,151.00586660006633,52.38415060645287
mp-22522,ZrCuSi,145.249,85.05,170.00472101538756,101.47947643232332
mp-1017507,TmAu,86.722,18.132,73.24062142399558,31.098645889156305
mp-23260,BaI2,16.076,5.955,23.69761083308767,12.323616950197673
mp-865558,AcTe3,47.939,20.884,59.566844950148436,17.530557668069974
mp-999460,NaScS2,51.116,31.329,72.14345406208484,40.99573849976697
mp-20499,Sc2FeS4,71.369,31.493,89.50719880331663,51.286388799457995
mp-672340,LiIn2Ru,95.132,41.998,110.03450042903714,43.29734848251925
mp-569220,ErRu2,173.521,48.395,176.63846140374085,50.404859600831664
mp-5505,U2TeN2,85.916,52.251,130.63309481560705,78.1203022291738
mp-3606,MnSiN2,184.321,91.55,179.82919005758103,115.91890689019769
mp-973088,MgInAg2,68.284,19.238,85.05852295829322,29.345496910637213
mp-4809,Ga2HgS4,35.968,22.015,59.65606402161374,27.60791062055694
mp-23209,SrCl2,33.615,14.668,35.10899760572113,16.91669387209062
mp-1132,CdO,127.369,44.447,133.25821042740245,55.12383986737434
mp-7474,Cu2As,110.379,26.428,124.93315234071042,45.59182959265795
mp-11023,ScAuO2,134.634,43.218,150.10190766760172,80.41113294176688
mp-12120,FeN,293.289,175.639,272.5665845201028,180.07667760590456
mp-755552,LiYS2,69.089,43.12,69.85297797090526,39.08616508342222
mp-1017629,MgNiH3,109.663,26.812,117.640342462817,56.30409844923173
mp-1956,TmGa2,76.021,50.722,62.265373464728654,46.23086316107218
mp-9330,CdPS3,11.099,6.8469999999999995,59.59441784961279,29.575709886462924
mp-867202,Sr,11.444,6.8870000000000005,11.434648651334005,8.765043399543623
mp-22687,BaIn4,33.333,16.521,38.54959985542557,19.523939138106883
mp-20716,PbSeO3,35.364,7.251,81.61724915891979,40.59936941997749
mp-7897,K3P,13.975,6.039,17.56545999679443,11.24190016185489
mp-1722,Zn13Fe,83.349,42.179,101.67142285596789,52.159572813792366
mp-1008282,Cr3Fe,227.443,93.238,205.01303695739054,107.74986495385033
mp-35388,LiSmSe2,43.726,27.524,54.21138936551429,29.671215713007207
mp-642822,CaC2,58.929,20.203,91.30958417354849,45.333106525720325
mp-1509,Sn2S3,16.845,11.679,60.64239153150518,28.10656428519103
mp-975793,PrTmTl2,51.881,16.163,40.193635637129155,16.7827565372079
mp-29661,Si5Pt6,180.761,70.297,191.9147135830741,84.10097617705408
