mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_r2scan_0_D3,G_vrh_mace_matpes_r2scan_0_D3
mp-865202,TmCdPt2,123.512,20.588,141.03150166453327,11.731867062777146
mp-1019055,ReN2,384.053,265.328,573.3844128902388,317.9824304491062
mp-778364,Na6Ti2O7,46.367,25.335,108.57819205722826,57.494307054699
mp-866375,TiFe2Ge,210.464,127.259,154.21729492767463,96.67545207407902
mp-8062,SiC,212.682,187.246,249.1167375177253,208.13274563474204
mp-9587,TaMoN,306.124,172.722,386.0197758074919,187.12205015092152
mp-614603,CsI,8.224,4.02,18.422231396491252,5.0878835516882335
mp-30227,Rb2WCl6,11.06,4.8870000000000005,44.666898899619405,21.09239512473969
mp-3951,Ti2CuS4,100.958,37.972,118.25586269569345,69.04760772690133
mp-865845,Yb2CuIr,69.855,33.64,96.94574775651593,36.77539900810457
mp-754483,Na3(CuO2)2,33.577,21.098,100.37383543151067,49.4211246814956
mp-1008285,Cr3Fe,239.14,60.631,110.64319563659511,-48.636399300435585
mp-16342,HoGe,80.872,54.586,78.54090854259601,54.68505428940646
mp-752426,Li3SbS4,38.534,25.974,79.78524456010004,50.057059983918315
mp-27743,BiF5,13.737,10.508,100.80994355242986,48.68052225566243
mp-21366,Yb(GeRu)2,113.282,47.997,175.82133486775626,87.87063605450953
mp-905,LaF3,102.112,39.391,135.63639303763523,56.31249039381239
mp-9953,HfP,147.126,83.603,179.79655624186006,130.97857439951264
mp-643273,NaH2Pd3,108.766,34.066,139.57319795288052,41.16393426079925
mp-972228,Zr3As2,125.408,62.953,158.33933098205486,93.47817668017976
mp-30819,LiAl2Pt,124.378,59.706,167.23062425105817,93.8587697770768
mp-7092,TiSi,145.819,99.581,197.75230740041246,131.48363265830724
mp-862703,Sc2AgAu,91.964,32.821,115.06590626102277,45.452023714558464
mp-978265,Mg2ZnPd,72.28,25.948,96.73192342756217,37.86339638071808
mp-10844,Te2Ir,111.463,53.591,152.10320967568254,92.10043210438714
mp-140,Ga,49.645,8.836,48.081850799273944,11.494757999762825
mp-31496,Li2Sn2Au,47.106,21.387,71.051125229687,33.88157508584353
mp-13816,Cs2NaErF6,31.129,17.633,64.17092683903172,34.27576023279541
mp-972119,SrCaTl2,28.313,16.901,41.03992669053842,23.50516462207713
mp-4552,ErInCu2,88.491,42.728,107.30183261950832,50.99658901386277
